[122/11/27: 23:30:17][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057417, pitch: -0.109356, roll: -0.027052, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057417
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057417, pitch: -0.109356, roll: -0.027052, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057417
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057413, pitch: -0.109349, roll: -0.027051, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057413
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057402, pitch: -0.109328, roll: -0.027045, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057402
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057383, pitch: -0.109292, roll: -0.027036, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057383
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057357, pitch: -0.109242, roll: -0.027024, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057357
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057323, pitch: -0.109178, roll: -0.027008, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057323
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057282, pitch: -0.109099, roll: -0.026989, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057282
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057233, pitch: -0.109006, roll: -0.026966, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057233
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057177, pitch: -0.108899, roll: -0.026939, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057177
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057113, pitch: -0.108778, roll: -0.026909, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057113
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.057042, pitch: -0.108642, roll: -0.026876, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.057042
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056963, pitch: -0.108492, roll: -0.026839, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056963
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056877, pitch: -0.108328, roll: -0.026798, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056877
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056783, pitch: -0.108149, roll: -0.026754, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056783
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056682, pitch: -0.107956, roll: -0.026706, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056682
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056573, pitch: -0.107749, roll: -0.026655, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056573
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056457, pitch: -0.107528, roll: -0.026600, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056457
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056333, pitch: -0.107292, roll: -0.026542, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056333
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056202, pitch: -0.107042, roll: -0.026480, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056202
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.056063, pitch: -0.106778, roll: -0.026415, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.056063
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055917, pitch: -0.106499, roll: -0.026346, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055917
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055763, pitch: -0.106207, roll: -0.026273, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055763
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055602, pitch: -0.105900, roll: -0.026197, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055602
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055433, pitch: -0.105578, roll: -0.026118, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055433
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055257, pitch: -0.105242, roll: -0.026035, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055257
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.055073, pitch: -0.104893, roll: -0.025948, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.055073
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054882, pitch: -0.104528, roll: -0.025858, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054882
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054683, pitch: -0.104150, roll: -0.025764, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054683
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054477, pitch: -0.103757, roll: -0.025667, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054477
[122/11/27: 23:30:21][Pos]x: 7.308300, y: 7.418099, z: -2.639286, yaw: 0.054263, pitch: -0.103350, roll: -0.025567, cable 0 : 7.308300, cable 1 : 7.418099, cable 2 : -2.639286, cable 3 : 0.054263
